accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,BalancedMethod,overall_score,metrics_used,Rank
0.802830021,0.817143648,0.922271446,0.713784774,0.804744125,0.920502523,0.612046867,0.952854317,,0.520577208,0.167106772,adaboost,smote_tomek,0.681614404,10,87
0.79861604,0.814544537,0.929199876,0.699524663,0.7981684,0.929564411,0.605049071,0.854740423,,5.467625233,0.183066004,knn,nearmiss,0.628587361,10,88
0.797595813,0.813673462,0.929209051,0.69757656,0.796902123,0.929770364,0.603177295,0.851217549,,5.609747654,0.186171043,knn,smote,0.624437961,10,89
0.796265082,0.812492074,0.928898605,0.695316761,0.795311734,0.929667387,0.600702985,0.852128284,,5.586617142,0.185677786,knn,enn,0.62176584,10,90
0.796353797,0.812582525,0.929002707,0.695394686,0.795400865,0.929770364,0.600876857,0.851492979,,5.610452335,0.186160397,knn,random_over,0.621733023,10,91
0.795998935,0.812270828,0.92894353,0.694771293,0.794971245,0.929770364,0.600219873,0.851862322,,5.579098924,0.185828602,knn,random_under,0.621198968,10,92
0.794845635,0.811257815,0.928750522,0.692745266,0.793572863,0.929770364,0.598085551,0.851349111,,5.604209499,0.187006742,knn,tomek,0.618195378,10,93
0.794845635,0.811257815,0.928750522,0.692745266,0.793572863,0.929770364,0.598085551,0.851120964,,5.613439149,0.187120298,knn,class_weight,0.618067061,10,94
0.797595813,0.813673462,0.929209051,0.69757656,0.796902123,0.929770364,0.603177295,0.82762913,,6.60582489,0.196671398,knn,smote_tomek,0.611163985,10,95
0.79147445,0.808284173,0.928090124,0.686900958,0.789485469,0.929667387,0.591844599,0.818726813,,7.006189438,0.203937189,knn,smote_enn,0.591745229,10,96
0.601446061,0.64878611,0.977419355,0.306943037,0.467176659,0.990629183,0.268018864,0.821199874,,14.14005067,0.398270035,naive_bayes,nearmiss,0.206983453,10,97
0.565338893,0.617271416,0.976444724,0.242266033,0.388212524,0.9922768,0.209252023,0.900929326,,15.60411643,0.434520895,naive_bayes,adasyn,0.142081749,10,98
0.565161462,0.617128094,0.976714915,0.241876412,0.387733433,0.992379776,0.208982275,0.885997605,,15.61712028,0.434823471,naive_bayes,svm_smote,0.136007882,10,99
0.565560681,0.617491278,0.977080063,0.242499805,0.388562867,0.992482752,0.209646675,0.873383967,,15.6259139,0.434446165,naive_bayes,borderline_smote,0.132474412,10,100
0.565117104,0.61718934,0.979120531,0.241175095,0.387020133,0.993203584,0.209051838,0.830896237,,15.64734174,0.434879634,naive_bayes,random_under,0.117051243,10,101
0.564939674,0.616995913,0.978185267,0.241097171,0.386846712,0.992894656,0.208711452,0.81489536,,15.64610992,0.434986296,naive_bayes,tomek,0.109076525,10,102
0.564717885,0.616788577,0.977848101,0.240785475,0.386419058,0.99279168,0.208334598,0.817241473,,15.65326242,0.435211642,naive_bayes,enn,0.108984772,10,103
0.564895316,0.616956951,0.978178368,0.241019247,0.386745858,0.992894656,0.208639616,0.814757663,,15.64795672,0.43501848,naive_bayes,class_weight,0.108895024,10,104
0.564939674,0.616983387,0.977883096,0.241175095,0.386923365,0.99279168,0.20869377,0.813789899,,15.64375245,0.434979477,naive_bayes,smote_tomek,0.108260921,10,105
0.564895316,0.616944425,0.977876106,0.241097171,0.386822529,0.99279168,0.208621932,0.813632763,,15.64572177,0.435019544,naive_bayes,smote,0.108070508,10,106
0.564895316,0.616944425,0.977876106,0.241097171,0.386822529,0.99279168,0.208621932,0.812367264,,15.64739144,0.435022607,naive_bayes,random_over,0.107564124,10,107
0.56520582,0.617129478,0.975824176,0.242188109,0.388063429,0.992070847,0.209001093,0.809523275,,15.57168222,0.434727454,naive_bayes,smote_enn,0.104839534,10,108
