accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,BalancedMethod,overall_score,metrics_used,Rank
0.67321682,0.638273547,0.707212386,0.67321682,0.663500113,,0.499744331,0.893626848,0.779168888,adaboost,random_over,0.770338308,8,85
0.762020937,0.563952396,0.79341476,0.762020937,0.720221704,,0.631117934,0.744082444,0.640521673,decision_tree,random_over,0.764587601,8,86
0.75674237,0.560379719,0.791346496,0.75674237,0.716352234,,0.620943959,0.740961749,0.635902614,decision_tree,class_weight,0.75816858,8,87
0.632629524,0.568012379,0.733781663,0.632629524,0.5897597,,0.425828013,0.897885392,0.78063881,adaboost,borderline_smote,0.713843858,8,88
0.61883428,0.579536684,0.699190119,0.61883428,0.607095253,,0.440524903,,,sgd,random_under,0.699421337,6,89
0.606014904,0.496047903,0.693094513,0.606014904,0.573983846,,0.381653859,0.750160588,0.597495555,naive_bayes,enn,0.613225731,8,90
0.512553229,0.519615351,0.77027702,0.512553229,0.473102215,,0.33027853,,,sgd,nearmiss,0.586793159,6,91
0.484341732,0.427062278,0.626568014,0.484341732,0.489582631,,0.234025032,0.720748531,0.553500618,naive_bayes,smote_enn,0.498880212,8,92
0.477200142,0.423614862,0.623431378,0.477200142,0.484652025,,0.226022557,0.715361797,0.544538576,naive_bayes,smote_tomek,0.490607676,8,93
0.47684528,0.423369685,0.623411455,0.47684528,0.484193556,,0.225416842,0.715189081,0.544135634,naive_bayes,smote,0.490127226,8,94
0.445528744,0.413878642,0.613929967,0.445528744,0.4631518,,0.193101408,0.71391256,0.538562804,naive_bayes,tomek,0.466648284,8,95
0.442290632,0.406628011,0.612304979,0.442290632,0.460806801,,0.188754946,0.713919645,0.538416266,naive_bayes,class_weight,0.462407477,8,96
0.442290632,0.406417849,0.612627868,0.442290632,0.460995497,,0.188854149,0.712001867,0.538611407,naive_bayes,random_over,0.462217129,8,97
0.421886089,0.390331521,0.587432029,0.421886089,0.45891139,,0.169837544,0.691928607,0.511406386,naive_bayes,borderline_smote,0.438157838,8,98
0.426233144,0.377578729,0.587590618,0.426233144,0.45355918,,0.176161777,0.705278447,0.515006751,naive_bayes,adasyn,0.437959415,8,99
0.396247339,0.372845578,0.574789287,0.396247339,0.429919457,,0.143892873,0.683196794,0.4964467,naive_bayes,svm_smote,0.409436515,8,100
0.354063165,0.48164085,0.602969385,0.354063165,0.368784317,,0.193035922,0.684240765,0.437765617,gradient_boosting,nearmiss,0.406653635,8,101
0.147977289,0.385708979,0.81333701,0.147977289,0.131243531,,0.093579073,0.692281093,0.531952536,adaboost,nearmiss,0.285944612,8,102
0.230837473,0.410279877,0.411214776,0.230837473,0.218024802,,0.013702739,0.604671706,0.333904657,decision_tree,nearmiss,0.237934011,8,103
0.145315827,0.388251265,0.255596925,0.145315827,0.083350997,,-0.031544221,0.732905752,0.5357185,extra_trees,nearmiss,0.212711808,8,104
0.15161462,0.387677767,0.239445478,0.15161462,0.098011975,,-0.026339995,0.695643023,0.493472378,random_forest,nearmiss,0.203201161,8,105
0.155251952,0.361362097,0.350756892,0.155251952,0.099226198,,-0.035090538,0.707381079,0.417310147,logistic_regression,nearmiss,0.191756047,8,106
0.164079134,0.369971015,0.436667888,0.164079134,0.121450829,,-0.031197779,0.601324261,0.336491407,knn,nearmiss,0.178690315,8,107
0.02217885,0.210104458,0.018205942,0.02217885,0.018656578,,-0.105676102,0.494100325,0.313713634,naive_bayes,nearmiss,0,8,108
