accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,BalancedMethod,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.794490774,0.697316998,0.845311872,0.794490774,0.790451956,,0.695553889,0.95907052,0.899182085,extra_trees,random_under,random_forest,20,0.927085327,8,87
0.804870476,0.710569478,0.807760902,0.804870476,0.796233103,,0.713434732,,,sgd,svm_smote,extra_trees,20,0.927033975,6,88
0.806733499,0.703864653,0.821874988,0.806733499,0.793912048,,0.714251951,,,sgd,adasyn,extra_trees,20,0.926803953,6,89
0.800656494,0.718537364,0.829966741,0.800656494,0.791079316,,0.700727631,,,sgd,smote_tomek,variance,122,0.926726853,6,90
0.812189496,0.710803423,0.82840257,0.812189496,0.807232351,,0.723818836,0.934761877,0.844116885,logistic_regression,svm_smote,anova,20,0.926632966,8,91
0.785441803,0.716009222,0.815417065,0.785441803,0.79007266,,0.681975093,0.957288527,0.906822014,random_forest,random_under,logistic_l1,20,0.925703967,8,92
0.808552165,0.701453581,0.827549688,0.808552165,0.793131428,,0.709915882,0.94128332,0.867111871,logistic_regression,smote_tomek,variance,122,0.923802044,8,93
0.803805891,0.677841805,0.812123934,0.803805891,0.805971985,,0.710721001,0.927180384,0.890468521,gradient_boosting,random_under,anova,20,0.922855092,8,94
0.809572392,0.705557223,0.827037566,0.809572392,0.794552164,,0.712163723,0.938424819,0.85517725,logistic_regression,smote_enn,variance,122,0.922707363,8,95
0.80864088,0.701354664,0.828119502,0.80864088,0.793207103,,0.710303944,0.93996865,0.861685819,logistic_regression,smote,variance,122,0.922621504,8,96
0.805047906,0.693036795,0.867671413,0.805047906,0.805488904,,0.719606884,0.929580133,0.84163784,logistic_regression,borderline_smote,logistic_l1,20,0.922326348,8,97
0.811479773,0.648505009,0.807791236,0.811479773,0.804275715,,0.717088923,0.947850028,0.89122781,gradient_boosting,smote_enn,anova,20,0.920940502,8,98
0.781804471,0.716859491,0.83089693,0.781804471,0.78189544,,0.673211298,0.950859973,0.894280514,extra_trees,random_under,logistic_l1,20,0.919736558,8,99
0.801410575,0.65847992,0.812801065,0.801410575,0.801724947,,0.704490394,0.945451723,0.895617269,random_forest,random_under,anova,20,0.919333699,8,100
0.809616749,0.640399716,0.805831989,0.809616749,0.801992167,,0.713929396,0.950767834,0.897329453,gradient_boosting,smote_tomek,anova,20,0.919142645,8,101
0.795644074,0.663610676,0.825383602,0.795644074,0.787239952,,0.69376135,0.961143379,0.905748437,extra_trees,random_under,mutual_information,20,0.918837614,8,102
0.796398155,0.68069269,0.840391497,0.796398155,0.761265118,,0.682833492,0.959113043,0.919654018,extra_trees,smote_enn,variance,122,0.918718171,8,103
0.81808907,0.726219059,0.827268384,0.81808907,0.810234025,,0.731398684,0.907007419,0.788043084,adaboost,svm_smote,random_forest,20,0.918158101,8,104
0.808596522,0.641535748,0.804975717,0.808596522,0.8009346,,0.712265618,0.947689725,0.894367221,gradient_boosting,smote,anova,20,0.917587325,8,105
0.806777857,0.644762612,0.805539991,0.806777857,0.800423911,,0.710333102,0.943970981,0.893343829,gradient_boosting,random_over,anova,20,0.916850941,8,106
0.785574876,0.690213895,0.84950056,0.785574876,0.796594962,,0.693068167,,,sgd,svm_smote,logistic_l1,20,0.916794104,6,107
0.782203691,0.722688215,0.80747106,0.782203691,0.790203331,,0.684056611,,,sgd,random_over,extra_trees,20,0.916273555,6,108
0.784421576,0.714175167,0.806134046,0.784421576,0.790764228,,0.687133623,,,sgd,smote,extra_trees,20,0.915200894,6,109
0.798882186,0.68329926,0.828591864,0.798882186,0.784229087,,0.701264106,0.938450427,0.874313215,logistic_regression,borderline_smote,mutual_information,20,0.915162076,8,110
0.808685238,0.640650106,0.822038829,0.808685238,0.79042617,,0.71397984,0.94404142,0.885550375,gradient_boosting,adasyn,anova,20,0.91411035,8,111
0.809439319,0.634850875,0.821784365,0.809439319,0.788842361,,0.71425052,0.949017238,0.888938225,gradient_boosting,borderline_smote,anova,20,0.913920457,8,112
0.785086941,0.705716639,0.806057288,0.785086941,0.791217591,,0.687916832,,,sgd,smote_tomek,extra_trees,20,0.913385716,6,113
0.791563165,0.671565319,0.837518002,0.791563165,0.754746401,,0.67515115,0.959530491,0.921952561,extra_trees,adasyn,variance,122,0.913069898,8,114
0.7920511,0.70172723,0.804440126,0.7920511,0.78380229,,0.694316726,,,sgd,svm_smote,mutual_information,20,0.912984072,6,115
0.790454223,0.669688084,0.83636066,0.790454223,0.754840472,,0.67277112,0.963010678,0.923999071,extra_trees,smote_tomek,variance,122,0.912823655,8,116
0.801588006,0.689077679,0.814768817,0.801588006,0.771426195,,0.702608691,0.939992463,0.874177496,logistic_regression,adasyn,random_forest,20,0.912821283,8,117
0.813254081,0.655693457,0.858912784,0.813254081,0.831047803,,0.73251194,0.906988646,0.798399014,adaboost,random_under,mutual_information,20,0.912207139,8,118
0.783490064,0.703950605,0.803649555,0.783490064,0.789519773,,0.685332236,,,sgd,smote_enn,extra_trees,20,0.911149973,6,119
0.791163946,0.695583224,0.837885192,0.791163946,0.769960347,,0.692456849,0.937298277,0.865001338,logistic_regression,borderline_smote,extra_trees,20,0.909659788,8,120
0.789389638,0.661176094,0.836540014,0.789389638,0.750086398,,0.670837987,0.962599972,0.923800715,extra_trees,borderline_smote,variance,122,0.909130144,8,121
0.78530873,0.671974672,0.833316104,0.78530873,0.746059538,,0.664223028,0.964509154,0.925530222,extra_trees,smote,variance,122,0.908814103,8,122
0.778921221,0.726981617,0.84825729,0.778921221,0.800987878,,0.683378422,0.90977449,0.817791892,adaboost,random_under,variance,122,0.90811154,8,123
0.778921221,0.726981617,0.84825729,0.778921221,0.800987878,,0.683378422,0.90977449,0.817791892,adaboost,random_under,random_forest,20,0.90811154,8,124
0.782292406,0.654429877,0.822026834,0.782292406,0.782565534,,0.674957831,0.952920507,0.898357388,extra_trees,random_under,extra_trees,20,0.906974189,8,125
0.789567069,0.655583815,0.831786562,0.789567069,0.765957086,,0.6727781,0.956393335,0.900810535,gradient_boosting,tomek,variance,122,0.90637037,8,126
0.776880767,0.705020878,0.796630416,0.776880767,0.780121539,,0.676071693,,,sgd,smote_tomek,mutual_information,20,0.903932889,6,127
0.789079134,0.652816062,0.815258524,0.789079134,0.766026668,,0.675522154,0.945086846,0.904111036,extra_trees,adasyn,logistic_l1,20,0.903916996,8,128
0.793248758,0.692955762,0.808685242,0.793248758,0.791268636,,0.695516228,0.925332848,0.826148866,logistic_regression,adasyn,anova,20,0.903400616,8,129
0.781937544,0.660240743,0.832020872,0.781937544,0.74411371,,0.658711443,0.958136325,0.92120641,extra_trees,svm_smote,variance,122,0.902440266,8,130
0.766101845,0.697053278,0.840065116,0.766101845,0.784621147,,0.661108945,,,sgd,random_over,logistic_l1,20,0.902317594,6,131
0.773465224,0.706432162,0.796060958,0.773465224,0.778000552,,0.672382048,,,sgd,smote_enn,mutual_information,20,0.90184591,6,132
0.772090135,0.708275616,0.795767445,0.772090135,0.778128462,,0.670262666,,,sgd,random_over,mutual_information,20,0.901576913,6,133
